Time[s], Channel 1
0, 1
3.04646, 0
3.05556, 1
3.06002, 0
3.06068, 1
3.06262, 0
3.0633, 1
3.06524, 0
3.0659, 1
3.0666, 0
3.06726, 1
3.06796, 0
3.06862, 1
3.06932, 0
3.06998, 1
3.07068, 0
3.07134, 1
3.07328, 0
3.07394, 1
3.0759, 0
3.07656, 1
3.0785, 0
3.07918, 1
3.08112, 0
3.08178, 1
3.08372, 0
3.08438, 1
3.08508, 0
3.08574, 1
3.08768, 0
3.08834, 1
3.08904, 0
3.0897, 1
3.0904, 0
3.09106, 1
3.09302, 0
3.0937, 1
3.09438, 0
3.09506, 1
3.097, 0
3.09766, 1
3.09836, 0
3.09902, 1
3.09972, 0
3.10038, 1
3.10108, 0
3.10174, 1
3.10368, 0
3.10434, 1
3.10628, 0
3.10694, 1
3.1089, 0
3.10958, 1
3.1115, 0
3.11218, 1
3.11412, 0
3.11478, 1
3.11672, 0
3.11738, 1
3.11808, 0
3.11874, 1
3.11944, 0
3.12012, 1
3.1208, 0
3.12146, 1
3.12216, 0
3.12284, 1
3.12354, 0
3.12422, 1
3.1249, 0
3.12556, 1
3.12626, 0
3.12694, 1
3.12762, 0
3.1283, 1
3.12898, 0
3.12966, 1
3.13034, 0
3.13102, 1
3.1317, 0
3.13238, 1
3.1343, 0
3.13498, 1
3.13568, 0
3.13636, 1
3.13704, 0
3.13772, 1
3.1384, 0
3.13908, 1
3.13976, 0
3.14044, 1
3.14112, 0
3.1418, 1
3.1425, 0
3.14316, 1
3.14384, 0
3.14452, 1
3.1452, 0
3.14588, 1
3.14658, 0
3.14726, 1
3.14796, 0
3.14862, 1
3.14932, 0
3.14998, 1
3.15068, 0
3.15134, 1
3.15204, 0
3.1527, 1
3.1534, 0
3.15406, 1
3.156, 0
3.15666, 1
3.15736, 0
3.15802, 1
3.15874, 0
3.1594, 1
3.1601, 0
3.16076, 1
3.16146, 0
3.16212, 1
3.16282, 0
3.16348, 1
3.16418, 0
3.16484, 1
3.16554, 0
3.1662, 1
3.1669, 0
3.16758, 1
3.16826, 0
3.16894, 1
3.16964, 0
3.17032, 1
3.171, 0
3.17168, 1
3.17236, 0
3.17304, 1
3.17372, 0
3.1744, 1
3.17508, 0
3.17576, 1
3.17644, 0
3.17712, 1
3.1778, 0
3.17848, 1
3.17916, 0
3.17984, 1
3.18054, 0
3.18122, 1
3.1819, 0
3.18258, 1
3.18326, 0
3.18394, 1
3.18462, 0
3.1853, 1
3.18598, 0
3.18666, 1
3.18734, 0
3.18802, 1
3.1887, 0
3.18938, 1
3.19006, 0
3.19074, 1
3.19144, 0
3.19212, 1
3.1928, 0
3.19348, 1
3.19416, 0
3.19484, 1
3.19552, 0
3.1962, 1
3.19688, 0
3.19756, 1
3.19824, 0
3.19892, 1
3.20086, 0
3.20152, 1
3.20346, 0
3.20412, 1
3.20608, 0
3.20676, 1
3.20868, 0
3.20936, 1
3.21004, 0
3.21072, 1
3.21264, 0
3.21332, 1
3.214, 0
3.21468, 1
3.21536, 0
3.21604, 1
3.21674, 0
3.2174, 1
3.2181, 0
3.21876, 1
3.21946, 0
3.22014, 1
3.22084, 0
3.2215, 1
3.2222, 0
3.22286, 1
3.22356, 0
3.22422, 1
3.22616, 0
3.22682, 1
3.22752, 0
3.22818, 1
3.22888, 0
3.22954, 1
3.23024, 0
3.2309, 1
3.23286, 0
3.23352, 1
