Time[s], Channel 0
0, 1
1.81693, 0
1.82616, 1
1.83052, 0
1.83126, 1
1.83315, 0
1.83386, 1
1.83575, 0
1.83646, 1
1.83711, 0
1.83782, 1
1.83847, 0
1.83918, 1
1.83983, 0
1.84054, 1
1.84119, 0
1.8419, 1
1.84379, 0
1.8445, 1
1.84641, 0
1.84712, 1
1.84902, 0
1.84973, 1
1.85162, 0
1.85233, 1
1.85422, 0
1.85493, 1
1.85558, 0
1.85629, 1
1.85694, 0
1.85765, 1
1.8583, 0
1.85901, 1
1.85966, 0
1.86037, 1
1.86228, 0
1.86299, 1
1.86364, 0
1.86435, 1
1.865, 0
1.86571, 1
1.86636, 0
1.86707, 1
1.86772, 0
1.86843, 1
1.86908, 0
1.86979, 1
1.87168, 0
1.87239, 1
1.87428, 0
1.875, 1
1.87691, 0
1.87762, 1
1.87827, 0
1.87898, 1
1.87962, 0
1.88034, 1
1.88098, 0
1.8817, 1
1.88234, 0
1.88306, 1
1.8837, 0
1.88442, 1
1.88506, 0
1.88578, 1
1.88642, 0
1.88714, 1
1.8878, 0
1.88851, 1
1.88916, 0
1.88987, 1
1.89052, 0
1.8912, 1
1.89188, 0
1.89259, 1
1.89324, 0
1.89392, 1
1.8946, 0
1.89531, 1
1.89596, 0
1.89667, 1
1.89856, 0
1.89927, 1
1.89994, 0
1.90065, 1
1.9013, 0
1.90201, 1
1.90266, 0
1.90334, 1
1.90402, 0
1.90473, 1
1.90538, 0
1.90606, 1
1.90674, 0
1.90743, 1
1.9081, 0
1.90878, 1
1.90946, 0
1.91014, 1
1.91083, 0
1.91154, 1
1.91219, 0
1.91288, 1
1.91355, 0
1.91424, 1
1.91491, 0
1.9156, 1
1.91627, 0
1.91698, 1
1.91763, 0
1.91832, 1
1.92023, 0
1.92092, 1
1.92159, 0
1.92228, 1
1.92297, 0
1.92366, 1
1.92433, 0
1.92502, 1
1.92569, 0
1.92638, 1
1.92705, 0
1.92774, 1
1.92841, 0
1.9291, 1
1.92977, 0
1.93045, 1
1.93113, 0
1.93181, 1
1.93249, 0
1.93317, 1
1.93387, 0
1.93455, 1
1.93523, 0
1.93591, 1
1.93659, 0
1.93727, 1
1.93795, 0
1.93863, 1
1.93931, 0
1.93999, 1
1.94066, 0
1.94135, 1
1.94202, 0
1.94271, 1
1.94338, 0
1.94407, 1
1.94476, 0
1.94545, 1
1.94612, 0
1.94681, 1
1.94748, 0
1.94817, 1
1.94884, 0
1.94952, 1
1.9502, 0
1.95089, 1
1.95156, 0
1.95224, 1
1.95292, 0
1.9536, 1
1.95428, 0
1.95496, 1
1.95566, 0
1.95634, 1
1.95702, 0
1.9577, 1
1.95838, 0
1.95906, 1
1.95974, 0
1.96042, 1
1.9611, 0
1.96178, 1
1.96245, 0
1.96314, 1
1.96506, 0
1.96574, 1
1.96766, 0
1.96834, 1
1.97028, 0
1.97097, 1
1.97289, 0
1.97357, 1
1.97424, 0
1.97493, 1
1.97685, 0
1.97753, 1
1.97821, 0
1.97889, 1
1.97957, 0
1.98025, 1
1.98093, 0
1.98161, 1
1.98229, 0
1.98297, 1
1.98366, 0
1.98435, 1
1.98627, 0
1.98695, 1
1.98887, 0
1.98955, 1
1.99147, 0
1.99216, 1
1.99408, 0
1.99476, 1
1.99544, 0
1.99612, 1
1.99804, 0
1.99872, 1
2.00064, 0
2.00133, 1
2.00202, 0
2.0027, 1
