Time[s], Channel 0
0, 1
1.52659, 0
1.53584, 1
1.54017, 0
1.54091, 1
1.5428, 0
1.54351, 1
1.5454, 0
1.54612, 1
1.54676, 0
1.54747, 1
1.54812, 0
1.54883, 1
1.54948, 0
1.55019, 1
1.55084, 0
1.55155, 1
1.55344, 0
1.55416, 1
1.55606, 0
1.55678, 1
1.55867, 0
1.55938, 1
1.56127, 0
1.56198, 1
1.56387, 0
1.56459, 1
1.56523, 0
1.56595, 1
1.56659, 0
1.56731, 1
1.56795, 0
1.56867, 1
1.56931, 0
1.57003, 1
1.57193, 0
1.57265, 1
1.57329, 0
1.57401, 1
1.57465, 0
1.57537, 1
1.57601, 0
1.57673, 1
1.57737, 0
1.57808, 1
1.57873, 0
1.57944, 1
1.58133, 0
1.58205, 1
1.58394, 0
1.58465, 1
1.58656, 0
1.58727, 1
1.58792, 0
1.58863, 1
1.59052, 0
1.59123, 1
1.59188, 0
1.59259, 1
1.59448, 0
1.5952, 1
1.59709, 0
1.5978, 1
1.59845, 0
1.59916, 1
1.59981, 0
1.60052, 1
1.60118, 0
1.6019, 1
1.60254, 0
1.60326, 1
1.6039, 0
1.60462, 1
1.60526, 0
1.60598, 1
1.60662, 0
1.60733, 1
1.60798, 0
1.60869, 1
1.60934, 0
1.61005, 1
1.61194, 0
1.61266, 1
1.61332, 0
1.61404, 1
1.61468, 0
1.61539, 1
1.61604, 0
1.61675, 1
1.6174, 0
1.61811, 1
1.61876, 0
1.61947, 1
1.62012, 0
1.62083, 1
1.62148, 0
1.62219, 1
1.62284, 0
1.62355, 1
1.62422, 0
1.62493, 1
1.62558, 0
1.62629, 1
1.62694, 0
1.62765, 1
1.6283, 0
1.62901, 1
1.62966, 0
1.63037, 1
1.63101, 0
1.63173, 1
1.63362, 0
1.63433, 1
1.63498, 0
1.63569, 1
1.63635, 0
1.63707, 1
1.63772, 0
1.63843, 1
1.63907, 0
1.63979, 1
1.64043, 0
1.64115, 1
1.64179, 0
1.64251, 1
1.64315, 0
1.64387, 1
1.64451, 0
1.64523, 1
1.64587, 0
1.64659, 1
1.64725, 0
1.64796, 1
1.64861, 0
1.64932, 1
1.64997, 0
1.65068, 1
1.65133, 0
1.65204, 1
1.65269, 0
1.6534, 1
1.65405, 0
1.65476, 1
1.65541, 0
1.65612, 1
1.65677, 0
1.65748, 1
1.65815, 0
1.65883, 1
1.65951, 0
1.66022, 1
1.66086, 0
1.66158, 1
1.66222, 0
1.66294, 1
1.66358, 0
1.6643, 1
1.66494, 0
1.66563, 1
1.66755, 0
1.66826, 1
1.66891, 0
1.66959, 1
1.67028, 0
1.671, 1
1.67164, 0
1.67235, 1
1.673, 0
1.67372, 1
1.67436, 0
1.67507, 1
1.67572, 0
1.67643, 1
1.67708, 0
1.67779, 1
1.67968, 0
1.68037, 1
1.68229, 0
1.68297, 1
1.68491, 0
1.68559, 1
1.68751, 0
1.68822, 1
1.68887, 0
1.68958, 1
1.69147, 0
1.69219, 1
1.69283, 0
1.69355, 1
1.69419, 0
1.69491, 1
1.69555, 0
1.69626, 1
1.69691, 0
1.6976, 1
1.69829, 0
1.699, 1
1.70089, 0
1.70161, 1
1.70225, 0
1.70297, 1
1.70361, 0
1.70433, 1
1.70622, 0
1.70691, 1
1.70758, 0
1.70829, 1
1.71018, 0
1.71089, 1
1.71154, 0
1.71225, 1
1.71416, 0
1.71487, 1
