Time[s], Channel 0
0, 1
1.50592, 0
1.50722, 1
1.50765, 0
1.50892, 1
1.50936, 0
1.50984, 1
1.51111, 0
1.5124, 1
1.51285, 0
1.51413, 1
1.51457, 0
1.51506, 1
1.51635, 0
1.51684, 1
1.51813, 0
1.51867, 1
1.51988, 0
1.52039, 1
1.52169, 0
1.52217, 1
1.52346, 0
1.52395, 1
1.52524, 0
1.52651, 1
1.53369, 0
1.53496, 1
1.5354, 0
1.53666, 1
1.5371, 0
1.53759, 1
1.53888, 0
1.54014, 1
1.54057, 0
1.54186, 1
1.54232, 0
1.5428, 1
1.5441, 0
1.54459, 1
1.54588, 0
1.54636, 1
1.54766, 0
1.54814, 1
1.54943, 0
1.54992, 1
1.55121, 0
1.5517, 1
1.55299, 0
1.55426, 1
1.56144, 0
1.56271, 1
1.56315, 0
1.56441, 1
1.56485, 0
1.56534, 1
1.56663, 0
1.56789, 1
1.56835, 0
1.56961, 1
1.57006, 0
1.57055, 1
1.57185, 0
1.57233, 1
1.57363, 0
1.57411, 1
1.5754, 0
1.57589, 1
1.57718, 0
1.57767, 1
1.57896, 0
1.57945, 1
1.58074, 0
1.582, 1
1.58919, 0
1.59045, 1
1.59089, 0
1.59216, 1
1.5926, 0
1.59306, 1
1.59437, 0
1.59564, 1
1.59609, 0
1.59736, 1
1.59781, 0
1.5983, 1
1.59959, 0
1.60008, 1
1.60137, 0
1.60186, 1
1.60315, 0
1.60364, 1
1.60493, 0
1.60541, 1
1.60671, 0
1.60719, 1
1.60848, 0
1.60975, 1
1.66655, 0
1.67588, 1
1.6804, 0
1.68102, 1
1.68265, 0
1.6833, 1
1.68382, 0
1.68447, 1
1.68493, 0
1.68555, 1
1.68609, 0
1.68669, 1
1.68723, 0
1.68785, 1
1.68837, 0
1.68897, 1
1.68951, 0
1.6901, 1
1.69066, 0
1.69126, 1
1.6918, 0
1.69239, 1
1.69407, 0
1.69467, 1
1.69635, 0
1.69694, 1
1.69862, 0
1.69922, 1
1.70089, 0
1.70149, 1
1.70317, 0
1.70376, 1
1.70544, 0
1.70604, 1
1.70769, 0
1.70832, 1
1.70999, 0
1.71059, 1
1.71227, 0
1.71287, 1
1.71341, 0
1.714, 1
1.71455, 0
1.71514, 1
1.71569, 0
1.71628, 1
1.71682, 0
1.71745, 1
1.71796, 0
1.71856, 1
1.71911, 0
1.71971, 1
1.72025, 0
1.72084, 1
1.72139, 0
1.72198, 1
1.72366, 0
1.72426, 1
1.72594, 0
1.72653, 1
1.72821, 0
1.72881, 1
1.73049, 0
1.73108, 1
1.73276, 0
1.73336, 1
1.73503, 0
1.73557, 1
1.77789, 0
1.78719, 1
1.79174, 0
1.79234, 1
1.79288, 0
1.79349, 1
1.79402, 0
1.79461, 1
1.79516, 0
1.79578, 1
1.7963, 0
1.79689, 1
1.79744, 0
1.79803, 1
1.79857, 0
1.79918, 1
1.79971, 0
1.80031, 1
1.80086, 0
1.80146, 1
1.80313, 0
1.80373, 1
1.80541, 0
1.806, 1
1.80768, 0
1.80828, 1
1.80995, 0
1.81055, 1
1.81223, 0
1.81282, 1
1.8145, 0
1.81512, 1
1.81675, 0
1.81737, 1
1.81905, 0
1.81965, 1
1.82019, 0
1.82079, 1
1.82247, 0
1.82306, 1
1.82474, 0
1.82534, 1
1.82588, 0
1.82648, 1
1.82702, 0
1.82762, 1
1.82816, 0
1.82875, 1
1.8293, 0
1.82989, 1
1.83044, 0
1.83104, 1
1.83272, 0
1.83331, 1
1.83386, 0
1.83445, 1
1.835, 0
1.83559, 1
1.83727, 0
1.83786, 1
1.83954, 0
1.84014, 1
1.84182, 0
1.84242, 1
1.84409, 0
1.84469, 1
1.84636, 0
1.8469, 1
