Time[s], Channel 1
0, 1
1.30068, 0
1.3019, 1
1.30238, 0
1.3036, 1
1.30408, 0
1.30452, 1
1.30586, 0
1.30708, 1
1.30756, 0
1.30878, 1
1.30928, 0
1.30972, 1
1.31106, 0
1.3115, 1
1.31284, 0
1.31328, 1
1.31462, 0
1.31506, 1
1.3164, 0
1.31684, 1
1.31816, 0
1.31938, 1
1.31988, 0
1.32032, 1
1.32838, 0
1.32962, 1
1.3301, 0
1.33132, 1
1.3318, 0
1.33224, 1
1.33356, 0
1.33478, 1
1.33528, 0
1.3365, 1
1.337, 0
1.33744, 1
1.33878, 0
1.33922, 1
1.34054, 0
1.341, 1
1.34232, 0
1.34278, 1
1.3441, 0
1.34454, 1
1.34588, 0
1.3471, 1
1.3476, 0
1.34804, 1
1.3561, 0
1.35732, 1
1.3578, 0
1.35902, 1
1.3595, 0
1.35994, 1
1.36128, 0
1.3625, 1
1.36298, 0
1.36422, 1
1.3647, 0
1.36514, 1
1.36648, 0
1.36692, 1
1.36826, 0
1.3687, 1
1.37004, 0
1.37048, 1
1.37182, 0
1.37226, 1
1.37358, 0
1.37482, 1
1.3753, 0
1.37576, 1
1.3838, 0
1.38502, 1
1.3855, 0
1.38672, 1
1.3872, 0
1.38768, 1
1.38898, 0
1.3902, 1
1.3907, 0
1.39192, 1
1.3924, 0
1.39288, 1
1.39418, 0
1.39466, 1
1.39596, 0
1.39642, 1
1.39774, 0
1.3982, 1
1.3995, 0
1.39996, 1
1.40128, 0
1.4025, 1
1.403, 0
1.40346, 1
1.46112, 0
1.47032, 1
1.4749, 0
1.47548, 1
1.47718, 0
1.47776, 1
1.47832, 0
1.4789, 1
1.47946, 0
1.48002, 1
1.48058, 0
1.48116, 1
1.48172, 0
1.4823, 1
1.48286, 0
1.48344, 1
1.484, 0
1.48456, 1
1.48514, 0
1.4857, 1
1.48626, 0
1.48684, 1
1.48854, 0
1.4891, 1
1.4908, 0
1.49138, 1
1.49306, 0
1.49364, 1
1.49534, 0
1.4959, 1
1.4976, 0
1.49818, 1
1.49986, 0
1.50044, 1
1.50214, 0
1.50272, 1
1.5044, 0
1.50498, 1
1.50668, 0
1.50724, 1
1.50894, 0
1.50952, 1
1.51006, 0
1.51064, 1
1.5112, 0
1.51178, 1
1.51234, 0
1.51288, 1
1.51346, 0
1.51404, 1
1.5146, 0
1.51518, 1
1.51574, 0
1.51632, 1
1.51688, 0
1.51744, 1
1.518, 0
1.51858, 1
1.52028, 0
1.52086, 1
1.52254, 0
1.52312, 1
1.52482, 0
1.52538, 1
1.52708, 0
1.52766, 1
1.52934, 0
1.52988, 1
1.57222, 0
1.5814, 1
1.58598, 0
1.58656, 1
1.58824, 0
1.58882, 1
1.58938, 0
1.58994, 1
1.59052, 0
1.5911, 1
1.59166, 0
1.59222, 1
1.59278, 0
1.59336, 1
1.59392, 0
1.59448, 1
1.59506, 0
1.59562, 1
1.5962, 0
1.59674, 1
1.59734, 0
1.59788, 1
1.5996, 0
1.60014, 1
1.60186, 0
1.60242, 1
1.60414, 0
1.60468, 1
1.6064, 0
1.60696, 1
1.60866, 0
1.60922, 1
1.61094, 0
1.61148, 1
1.6132, 0
1.61376, 1
1.61548, 0
1.61602, 1
1.61774, 0
1.6183, 1
1.61888, 0
1.61942, 1
1.62, 0
1.62056, 1
1.62114, 0
1.62168, 1
1.62226, 0
1.62282, 1
1.62454, 0
1.62508, 1
1.62568, 0
1.62622, 1
1.6268, 0
1.62736, 1
1.62794, 0
1.6285, 1
1.6302, 0
1.63076, 1
1.63248, 0
1.63302, 1
1.63474, 0
1.63528, 1
1.637, 0
1.63756, 1
1.63814, 0
1.63868, 1
1.6404, 0
1.64092, 1
1.68328, 0
1.69246, 1
1.69704, 0
1.69762, 1
1.69818, 0
1.69876, 1
1.69932, 0
1.69988, 1
1.70044, 0
1.70102, 1
1.70158, 0
1.70216, 1
1.70272, 0
1.7033, 1
1.70386, 0
1.70444, 1
1.705, 0
1.70556, 1
1.70614, 0
1.70672, 1
1.7084, 0
1.70898, 1
1.71068, 0
1.71126, 1
1.71296, 0
1.71352, 1
1.71522, 0
1.7158, 1
1.7175, 0
1.71808, 1
1.71976, 0
1.72034, 1
1.72204, 0
1.72262, 1
1.72432, 0
1.7249, 1
1.72658, 0
1.72716, 1
1.72886, 0
1.72944, 1
1.73, 0
1.73058, 1
1.73114, 0
1.7317, 1
1.73226, 0
1.73282, 1
1.7334, 0
1.73398, 1
1.73454, 0
1.7351, 1
1.73568, 0
1.73626, 1
1.73682, 0
1.73738, 1
1.73796, 0
1.73854, 1
1.74022, 0
1.74078, 1
1.7425, 0
1.74306, 1
1.74476, 0
1.74532, 1
1.74704, 0
1.7476, 1
1.74932, 0
1.74986, 1
1.75158, 0
1.7521, 1
