Time[s], Channel 1
0, 1
3.83954, 0
3.84852, 1
3.853, 0
3.85356, 1
3.85412, 0
3.8547, 1
3.85524, 0
3.85582, 1
3.85638, 0
3.85692, 1
3.85748, 0
3.85808, 1
3.85862, 0
3.85918, 1
3.85974, 0
3.8603, 1
3.86086, 0
3.86144, 1
3.86198, 0
3.86256, 1
3.86422, 0
3.86482, 1
3.86648, 0
3.86704, 1
3.86872, 0
3.8693, 1
3.87096, 0
3.87156, 1
3.87322, 0
3.87378, 1
3.87546, 0
3.87604, 1
3.8766, 0
3.87716, 1
3.87884, 0
3.8794, 1
3.88108, 0
3.88166, 1
3.8822, 0
3.88278, 1
3.88444, 0
3.88504, 1
3.8867, 0
3.88728, 1
3.8878, 0
3.8884, 1
3.88894, 0
3.8895, 1
3.89008, 0
3.89064, 1
3.89118, 0
3.89178, 1
3.8923, 0
3.89288, 1
3.89454, 0
3.89514, 1
3.89568, 0
3.89624, 1
3.8968, 0
3.89738, 1
3.89904, 0
3.89962, 1
3.90128, 0
3.90188, 1
3.90354, 0
3.90412, 1
3.90578, 0
3.90636, 1
3.94734, 0
3.95634, 1
3.95856, 0
3.95916, 1
